,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
0,0,False,2.0,373.0,5.0,[ 787.5 1557.5  782.5 1562.5  775. ],
1,1,False,28.0,368.0,63.0,"[1082.5  510.  1582.5  770.   587.5  992.5  792.5 1582.5  785.  1007.5
  332.5  765.   760.  2080.   735.  1992.5  730.   307.5  882.5  750.
  437.5  937.5 1730.   412.5  770.  1672.5  627.5  592.5 2407.5  895.
 1297.5 2405.   835.  1330.   757.5 1552.5  755.   747.5 1497.5  772.5
  750.  2240.   752.5  722.5 1455.   732.5  475.  1027.5  440.   312.5
 1485.   752.5  402.5  340.   730.  1062.5  400.  1480.   570.  2380.
  950.   195.  1002.5]",
2,2,False,3.0,375.0,6.0,[1040.   487.5 1035.   555.  1140.   470. ],
3,3,False,0.0,368.0,6.0,[ 317.5  512.5  990.  1375.   575.  1055. ],
4,4,False,0.0,374.0,6.0,[ 495.   287.5  777.5  822.5 2260.   802.5],
5,5,False,0.0,369.0,3.0,[540.  257.5 795. ],
6,6,False,11.0,389.0,29.0,"[ 795.   295.   510.   770.   362.5  395.   765.   752.5  397.5  352.5
 1962.5 1022.5  922.5  570.   715.  1427.5 1400.   690.   695.   702.5
  700.   697.5 1407.5  702.5  702.5 1385.   697.5  910.   572.5]",
7,7,False,28.0,382.0,69.0,"[ 430.   297.5  710.   755.  1482.5  757.5  707.5 4047.5 1172.5  665.
 1587.5  247.5  350.   842.5  342.5  275.  4932.5  715.   887.5  732.5
 1455.   882.5  515.   762.5 1452.5  725.   730.  1442.5  712.5  887.5
  557.5  720.  1480.   882.5  565.   862.5  762.5 2277.5  760.   755.
 1525.   767.5 1405.   622.5 1057.5  410.   955.   760.  1520.   745.
  755.  1497.5  737.5  730.  1465.   730.  1227.5 1190.  1357.5  715.
  350.   352.5  860.   702.5 1397.5  837.5  862.5  492.5  677.5]",
8,8,False,1.0,411.0,6.0,[ 885.   465.   770.   667.5 1352.5  677.5],
9,9,False,7.0,391.0,26.0,"[1217.5  487.5  285.   350.   580.  1435.   725.   542.5  920.   447.5
  312.5 1407.5  747.5  520.  1037.5  767.5  295.   477.5  507.5  982.5
  747.5 1645.   537.5  587.5 1590.   730. ]",
10,10,False,5.0,406.0,17.0,"[ 722.5 1435.   732.5  720.  1437.5  717.5  750.  1530.   760.   732.5
 1425.  1450.  1482.5  717.5  732.5 1467.5  730. ]",
11,11,False,1.0,377.0,6.0,[ 710.  1795.   437.5  275.   700.  1540. ],
12,12,False,1.0,359.0,0.0,[],
13,13,False,2.0,372.0,2.0,[1352.5  405. ],
14,14,False,0.0,382.0,2.0,[617.5 982.5],
15,15,False,1.0,371.0,1.0,[995.],
16,16,False,0.0,366.0,4.0,[ 632.5 1007.5  572.5  967.5],
17,17,False,0.0,371.0,0.0,[],
18,18,False,0.0,365.0,0.0,[],
19,19,False,1.0,379.0,5.0,[ 747.5  337.5  410.  1352.5  552.5],
20,20,False,0.0,373.0,0.0,[],
21,21,False,5.0,360.0,7.0,[ 800.  1600.   800.   767.5 1527.5  760.   937.5],
22,22,False,8.0,394.0,22.0,"[ 690.   285.  3122.5  805.   480.   330.   800.   962.5  825.  1657.5
  830.  1167.5  712.5 1445.   712.5  710.  1435.   715.   522.5  892.5
  542.5  902.5]",
23,23,False,3.0,392.0,6.0,[1217.5  552.5  910.   532.5  897.5  870. ],
24,24,False,0.0,388.0,5.0,[585.  980.  465.  282.5 747.5],
25,25,False,0.0,389.0,2.0,[555. 995.],
26,26,False,0.0,394.0,4.0,[792.5 385.  397.5 782.5],
27,27,False,4.0,367.0,5.0,[1365.  1070.   815.  1637.5  812.5],
28,28,False,0.0,357.0,2.0,[ 540. 1060.],
29,29,False,0.0,359.0,0.0,[],
30,30,False,0.0,369.0,4.0,[ 592.5 1000.   575.  1005. ],
31,31,False,0.0,361.0,0.0,[],
32,32,False,0.0,369.0,4.0,[ 580.  1042.5  550.  1025. ],
33,33,False,0.0,373.0,0.0,[],
34,34,False,0.0,377.0,2.0,[ 582.5 1017.5],
35,35,False,1.0,384.0,5.0,[347.5 745.  742.5 730.  740. ],
36,36,False,1.0,386.0,3.0,[ 782.5 2097.5  775. ],
37,37,False,0.0,391.0,0.0,[],
38,38,False,0.0,396.0,0.0,[],
39,39,False,1.0,398.0,3.0,[ 752.5 1510.   750. ],
40,40,False,0.0,398.0,0.0,[],
41,41,False,5.0,393.0,10.0,[ 697.5 3545.  1995.   685.   672.5 1352.5  680.   662.5 1342.5  680. ],
42,42,False,0.0,390.0,1.0,[935.],
43,43,False,0.0,396.0,15.0,"[ 312.5  740.  2150.   440.   287.5  717.5  707.5  347.5  362.5  702.5
  470.   280.   747.5  545.   967.5]",
44,44,False,0.0,383.0,0.0,[],
45,45,False,1.0,371.0,9.0,[1162.5  430.   797.5  987.5  822.5 1575.   797.5 2325.   767.5],
46,46,False,0.0,379.0,7.0,[490.  272.5 765.  295.  745.  605.  952.5],
47,47,False,1.0,390.0,17.0,"[ 535.  1022.5  320.   432.5 1017.5  757.5 1507.5  750.   950.   775.
  380.   400.   777.5  785.   245.   397.5  920. ]",
48,48,False,4.0,378.0,16.0,"[1230.   345.   775.  1320.   267.5 1547.5  770.  1087.5  272.5  982.5
  262.5  520.   462.5  802.5 1602.5  800. ]",
49,49,False,0.0,375.0,5.0,[475.  325.  910.  957.5 552.5],
50,50,False,0.0,374.0,0.0,[],
51,51,False,0.0,374.0,4.0,[787.5 362.5 425.  790. ],
52,52,False,2.0,382.0,15.0,"[ 535.   265.   797.5  422.5  322.5  737.5  407.5  762.5  327.5 1195.
 1107.5  360.  2312.5  765.   922.5]",
53,53,False,6.0,387.0,7.0,[1310.   600.   980.   925.   270.   282.5  997.5],
54,54,False,0.0,375.0,11.0,"[ 607.5  972.5  532.5  260.   790.   660.  2425.   762.5  795.   280.
  515. ]",
55,55,False,0.0,361.0,0.0,[],
56,56,False,0.0,360.0,0.0,[],
57,57,False,0.0,359.0,0.0,[],
58,58,False,0.0,362.0,0.0,[],
59,59,False,1.0,373.0,13.0,"[772.5 780.  772.5 777.5 375.  777.5 772.5 767.5 765.  327.5 535.  267.5
 800. ]",
60,60,False,1.0,385.0,7.0,[ 557.5 1030.   470.   290.   760.   937.5  595. ],
61,61,False,3.0,377.0,9.0,[ 762.5  302.5  462.5  532.5 1030.   772.5 1705.   632.5  437.5],
62,62,False,0.0,382.0,2.0,[577.5 975. ],
63,63,False,0.0,375.0,10.0,[ 555.   955.   540.  1017.5  815.  1592.5  795.   537.5  282.5  825. ],
64,64,False,14.0,381.0,18.0,"[ 777.5  287.5  500.   832.5 1655.   830.   817.5 1660.   817.5  275.
  847.5  390.   830.   437.5  397.5  825.   545.   992.5]",
65,65,False,0.0,379.0,0.0,[],
66,66,False,8.0,387.0,36.0,"[ 565.  1155.   645.   775.   500.   275.   757.5  792.5  442.5  337.5
  785.   782.5 1540.   762.5  752.5  360.   385.   727.5  880.   555.
 1625.   742.5  725.  1477.5  740.   525.   907.5  720.  2202.5  717.5
  722.5 1492.5  645.   705.  1435.   712.5]",
67,67,False,2.0,386.0,4.0,[1355.   735.  1540.   762.5],
68,68,False,14.0,378.0,27.0,"[ 765.  1502.5  742.5  740.  1495.   730.  1252.5  330.   655.  2230.
 1955.   275.  2217.5  745.   732.5  717.5  737.5  737.5  492.5  950.
  500.   930.   730.   285.   442.5  600.   980. ]",
69,69,False,0.0,369.0,0.0,[],
70,70,False,0.0,373.0,0.0,[],
71,71,False,0.0,384.0,0.0,[],
72,72,False,1.0,394.0,0.0,[],
73,73,False,0.0,368.0,0.0,[],
